,date,open,high,low,close,flag,EMA1,EMA2,EMA3,EMA4,smalemadifference,longemadifference
578,2024-04-29 10:05:00+05:30,402.65,402.65,402.65,402.65,1,397.85234505379333,398.1320965684999,404.05101623080054,404.17187925855603,-0.279751514706561,-0.1208630277554903
579,2024-04-29 10:06:00+05:30,405.0,405.0,405.0,405.0,1,401.42617252689666,400.09435469178567,404.14139563739093,404.22530640316535,1.3318178351109964,-0.08391076577441936
580,2024-04-29 10:07:00+05:30,405.0,405.0,405.0,405.0,3,403.2130862634483,401.4959676369898,404.2231674814489,404.27528663521923,1.7171186264585003,-0.05211915377032028
581,2024-04-29 10:08:00+05:30,411.95,411.95,411.95,411.95,4,407.5815431317242,404.4828340264213,404.9590562927395,404.770429432947,3.0987091053028735,0.18862685979246407
582,2024-04-29 10:09:00+05:30,410.25,410.25,410.25,410.25,1,408.9157715658621,406.1305957331581,405.46295569343096,405.12395011469243,2.785175832703999,0.3390055787385222
583,2024-04-29 10:10:00+05:30,415.0,415.0,414.1,415.0,18,411.95788578293104,408.66471123797004,406.3712456273899,405.761114623422,3.293174544961005,0.610131003967922
584,2024-04-29 10:18:00+05:30,422.0,430.0,422.0,430.0,2,420.9789428914655,414.76050802712143,408.6216031866861,407.32491367997545,6.21843486434409,1.2966895067106634
585,2024-04-29 10:19:00+05:30,433.0,433.0,430.0,430.0,27,425.48947144573276,419.114648590801,410.6576409784303,408.78782247481575,6.374822854931779,1.8698185036145674
586,2024-04-29 10:25:00+05:30,435.0,435.0,435.0,435.0,2,430.2447357228664,423.6533204220007,412.9759608852465,410.478930702247,6.591415300865663,2.497030182999481
587,2024-04-29 10:28:00+05:30,440.3,440.3,435.65,435.65,5,432.9473678614332,427.0809431585719,415.13539318188964,412.1028706569408,5.866424702861252,3.0325225249488312
588,2024-04-29 10:30:00+05:30,445.0,445.0,441.05,441.05,6,436.9986839307166,431.0721022561228,417.6034509740906,413.9704273887511,5.92658167459382,3.633023585339515
589,2024-04-29 10:31:00+05:30,448.8,448.8,443.8,443.8,6,440.3993419653583,434.70864446865914,420.0983604051296,415.8949159443155,5.690697496699158,4.203444460814069
590,2024-04-29 10:32:00+05:30,447.3,451.0,447.3,451.0,20,445.69967098267915,439.3633174776137,423.04137369987916,418.15976007694036,6.3363535050654605,4.881613622938801
591,2024-04-29 10:35:00+05:30,447.9,447.9,447.9,447.9,1,446.79983549133954,441.80236962686695,425.40886191893827,420.0784852332668,4.997465864472588,5.330376685671467
592,2024-04-29 10:37:00+05:30,438.95,438.95,438.95,438.95,1,442.8749177456698,440.9874068763335,426.6984941171346,421.29600231499154,1.8875108693362677,5.402491802143061
593,2024-04-29 10:40:00+05:30,438.95,438.95,438.95,438.95,2,440.9124588728349,440.40529062595255,427.86530420121704,422.43496990757274,0.5071682468823724,5.430334293644307
594,2024-04-29 10:43:00+05:30,442.55,442.55,442.55,442.55,1,441.7312294364175,441.01806473282323,429.263846658244,423.7327137845036,0.7131647035942592,5.531132873740432
595,2024-04-29 10:46:00+05:30,435.0,435.0,435.0,435.0,2,438.36561471820875,439.29861766630233,429.8101469765065,424.45963547582596,-0.9330029480935877,5.350511500680511
596,2024-04-29 10:54:00+05:30,434.95,435.0,434.95,435.0,2,436.68280735910434,438.07044119021594,430.3044186930297,425.1396589935146,-1.3876338311116,5.164759699515059
597,2024-04-29 10:58:00+05:30,441.0,441.0,441.0,441.0,1,438.8414036795522,438.9074579930114,431.3230454841697,426.16290680038463,-0.06605431345923307,5.160138683785078
598,2024-04-29 11:02:00+05:30,435.65,435.65,435.65,435.65,0,437.2457018397761,437.9767557092939,431.73513639043927,426.77497732939213,-0.7310538695178366,4.960159061047136
599,2024-04-29 11:03:00+05:30,435.65,435.65,435.65,435.65,0,436.447850919888,437.3119683637814,432.1079805437307,427.34755943717335,-0.864117443893349,4.760421106557374
600,2024-04-29 11:13:00+05:30,441.0,441.0,441.0,441.0,2,438.723925459944,438.36569168841527,432.9548395395659,428.2283620541299,0.3582337715287167,4.726477485436021
601,2024-04-29 11:17:00+05:30,447.0,447.0,447.0,447.0,4,442.861962729972,440.83263692029664,434.2924738691311,429.4394354699925,2.029325809675356,4.8530383991385975
602,2024-04-29 11:25:00+05:30,445.35,445.35,445.35,445.35,1,444.105981364986,442.12331208592616,435.3455715958805,430.46592350418655,1.9826692790598486,4.879648091693923
603,2024-04-29 11:26:00+05:30,445.5,445.5,445.5,445.5,2,444.80299068249303,443.0880800613758,436.31266001532043,431.4358639232713,1.7149106211172125,4.876796092049119
604,2024-04-29 11:29:00+05:30,443.2,443.2,443.2,443.2,0,444.0014953412465,443.120057186697,436.9685971567185,432.1948404443506,0.8814381545494712,4.773756712367913
605,2024-04-29 11:30:00+05:30,443.2,443.2,443.2,443.2,0,443.60074767062326,443.1428979904979,437.5620640941739,432.90485073826346,0.45784968012537774,4.6572133559104145
606,2024-04-29 11:36:00+05:30,442.25,442.3,442.25,442.3,0,442.95037383531167,442.90206999321276,438.01329608520496,433.510989400311,0.04830384209890326,4.502306684893938
607,2024-04-29 11:37:00+05:30,442.3,442.3,441.8,441.8,1,442.3751869176558,442.58719285229483,438.3739345532807,434.0457642777103,-0.2120059346390235,4.328170275570415
608,2024-04-29 11:41:00+05:30,444.25,444.25,444.25,444.25,1,443.3125934588279,443.062280608782,438.93355983392064,434.7041020662452,0.25031285004592974,4.229457767675456
609,2024-04-29 11:51:00+05:30,447.6,447.6,447.6,447.6,2,445.45629672941396,444.3587718634157,439.758935087833,435.5360954813262,1.0975248659982526,4.2228396065067955
610,2024-04-29 11:52:00+05:30,446.4,446.4,446.2,446.2,4,445.828148364707,444.88483704529693,440.3723698413727,436.2240893212407,0.9433113194100429,4.148280520132005
611,2024-04-29 11:56:00+05:30,444.1,444.1,443.3,444.0,6,444.9140741823535,444.63202646092634,440.7178584279086,436.72576097793484,0.28204772142714774,3.9920974499737554
612,2024-04-29 11:58:00+05:30,456.0,456.0,456.0,456.0,18,450.45703709117674,447.8800189006617,442.17330048239353,437.969260269681,2.577018190515048,4.204040212712528
613,2024-04-29 12:00:00+05:30,452.7,453.25,452.7,452.7,4,451.5785185455884,449.2571563576155,443.17584329359414,438.9196305748629,2.321362187972909,4.256212718731263
614,2024-04-29 12:01:00+05:30,456.95,456.95,456.95,456.95,1,454.2642592727942,451.45511168401106,444.48766774182326,440.08288021519434,2.809147588783162,4.4047875266289225
615,2024-04-29 12:07:00+05:30,462.05,462.05,460.5,461.1,6,457.6821296363971,454.2107940600079,446.0697946235544,441.4388234271173,3.471335576389208,4.630971196437088
616,2024-04-29 12:08:00+05:30,461.75,462.75,461.75,462.75,4,460.21606481819856,456.65056718572,447.6583856117873,442.8137380447227,3.565497632478582,4.844647567064612
617,2024-04-29 12:14:00+05:30,449.05,456.95,445.05,448.9,15,454.55803240909927,454.4361194183714,447.7766346011409,443.2064001063535,0.12191299072787842,4.570234494787428
618,2024-04-29 12:15:00+05:30,446.0,446.0,443.95,444.85,7,449.70401620454965,451.6972281559796,447.4979074962704,443.3124388091694,-1.9932119514299416,4.185468687100979
619,2024-04-29 12:16:00+05:30,448.3,450.45,448.3,449.95,8,449.8270081022748,451.19802011141394,447.7314401156732,443.74066856341653,-1.3710120091391218,3.9907715522566605
620,2024-04-29 12:17:00+05:30,446.25,451.9,446.15,451.9,9,450.8635040511374,451.3985857938671,448.12844581894245,444.26707704319614,-0.5350817427296874,3.861368775746314
621,2024-04-29 12:18:00+05:30,452.0,452.0,452.0,452.0,1,451.4317520255687,451.57041842419073,448.4971652647574,444.76597529847385,-0.13866639862203556,3.73118996628358
622,2024-04-29 13:02:00+05:30,460.6,460.6,460.6,460.6,2,456.01587601278436,454.150298874422,449.6498161919234,445.78752527921745,1.8655771383623687,3.86229091270593
623,2024-04-29 13:03:00+05:30,461.55,461.55,461.55,461.55,2,458.7829380063922,456.2644991960157,450.7831670307878,446.8044591321712,2.5184388103764945,3.9787078986166193
624,2024-04-29 13:04:00+05:30,462.45,462.45,462.45,462.45,1,460.61646900319613,458.03178514001127,451.89429398023657,447.81384886557953,2.584683863184864,4.080445114657039
625,2024-04-29 13:07:00+05:30,461.0,461.0,461.0,461.0,2,460.80823450159806,458.8798465285795,452.7615040773569,448.6645682936067,1.9283879730185731,4.096935783750212
626,2024-04-29 13:13:00+05:30,467.95,467.95,467.5,467.5,11,464.154117250799,461.3427475204139,454.1651703557039,449.8797574359547,2.8113697303850813,4.285412919749206
627,2024-04-29 13:23:00+05:30,470.0,470.0,470.0,470.0,7,467.0770586253995,463.8162482288671,455.67324936944635,451.17783760137695,3.2608103965324062,4.495411768069403
628,2024-04-29 13:27:00+05:30,494.3,494.3,494.3,494.3,1,480.68852931269976,472.52589159204797,459.3519875247372,453.9599125948365,8.162637720651787,5.392074929900673
629,2024-04-29 13:32:00+05:30,490.0,490.0,490.0,490.0,2,485.3442646563499,477.51849399432,462.27084585571464,456.28507952420193,7.825770662029868,5.985766331512707
630,2024-04-29 13:40:00+05:30,495.95,500.0,495.95,495.95,74,490.64713232817496,482.7846385673714,465.4783843456466,458.8441066516728,7.862493760803545,6.634277693973786
631,2024-04-29 13:46:00+05:30,491.0,491.0,491.0,491.0,1,490.8235661640875,485.1318846909796,467.90901440796597,460.91868041608103,5.691681473107906,6.990333991884938
632,2024-04-29 13:47:00+05:30,490.3,490.3,489.65,489.65,39,490.23678308204376,486.4227747792711,469.9795844643502,462.7723139376242,3.8140083027726632,7.207270526726006
633,2024-04-29 13:48:00+05:30,486.35,486.35,486.35,486.35,1,488.2933915410219,486.40198198519363,471.53867165822163,464.29345497390653,1.891409555828261,7.245216684315096
634,2024-04-29 13:54:00+05:30,489.25,489.25,489.25,489.25,1,488.771695770511,487.21570141799543,473.2254648336291,465.90355465300934,1.5559943525155404,7.321910180619739
635,2024-04-29 14:17:00+05:30,493.0,493.0,493.0,493.0,1,490.8858478852555,488.868358155711,475.108753897093,467.65171241733134,2.0174897295444794,7.457041479761642
636,2024-04-29 14:18:00+05:30,492.2,492.2,492.2,492.2,4,491.54292394262774,489.82025582550784,476.73649162117937,469.2354729065358,1.7226681171198948,7.501018714643578
637,2024-04-29 14:25:00+05:30,505.75,505.75,505.75,505.75,6,498.6464619713139,494.3716113039342,479.4996828953528,471.59124884804964,4.274850667379724,7.90843404730316
638,2024-04-29 14:27:00+05:30,499.0,499.0,499.0,499.0,2,498.82323098565695,495.6940080742387,481.35685595293825,473.35955537398195,3.1292229114182533,7.997300578956299
639,2024-04-29 14:33:00+05:30,496.2,496.2,496.2,496.2,2,497.51161549282847,495.8385771958848,482.7704887193251,474.83313244662827,1.6730382969436732,7.937356272696832
640,2024-04-29 14:36:00+05:30,499.0,499.0,499.0,499.0,1,498.25580774641423,496.7418408542034,484.31615646034174,476.39228519200714,1.5139668922108172,7.923871268334608
641,2024-04-29 15:06:00+05:30,504.8,504.8,504.8,504.8,4,501.52790387320715,499.04417203871674,486.266998702214,478.22504098607124,2.4837318344904133,8.041957716142747
642,2024-04-29 15:14:00+05:30,510.0,510.0,510.0,510.0,0,505.7639519366036,502.17440859908334,488.5272845400984,480.27503834180857,3.58954333752024,8.25224619828981
643,2024-04-29 15:15:00+05:30,510.0,510.0,510.0,510.0,0,507.8819759683018,504.41029185648813,490.572305060089,482.1927778036274,3.4716841118136585,8.379527256461586
